regulation_id,scope_type,scope_value,category,summary,detail,citation,source_url,source_last_updated,verified_date,log_entry_ids,scope_display
ebrpd-fire,agency,ebrpd,fire,"Open outdoor fires are allowed only in the facilities provided and designated for them, and no fire may be left unattended. Personal gas or propane camp stoves, portable barbecues and hibachis are permitted, but not on beaches or anywhere posted 'No BBQ'.","This is the local restriction that sits on top of the statewide California Campfire Permit: holding the permit does not make a fire lawful here. A personal appliance must be placed where it will not scorch lawns or table tops and at least 30 feet from flammable material such as grass, weeds, wood chips, brush or buildings, and burning fuel must be thoroughly extinguished before disposal in an existing fireplace, fire pit or grill -- never in a garbage can. Smoking is prohibited district-wide, vapor devices included; that is a standing ban, not a fire-season one. During declared fire season, extreme conditions may eliminate all open flames for any purpose, or close the park.","EBRPD Ordinance 38 s.404, 404.1, 404.2, 404.3",https://www.ebparks.org/sites/default/files/Ord38-09052023FINAL.pdf,2023-09,2026-09-15,none-2026-09-15-03; none-2026-09-15-04,East Bay Regional Park District
ebrpd-camping-quiet,agency,ebrpd,camping,"Ordinance 38 allows a generator unless it disturbs other campers. THE BOOKING SYSTEM SAYS 'NO GAS GENERATORS', flatly. The two do not agree -- see the ebrpd-generators thread.","Stated as a disturbance test rather than posted quiet hours, so it applies at any time of day. Covers radio, television, tape or record players and speaker systems as well as generators. THE CONTRADICTION, ADDED 2026-09-16: Ordinance 38 s.400.2 and s.908.2 state a DISTURBANCE TEST -- no generator or sound-amplification device may be operated in a campground if it disturbs other campers, which permits a quiet one at any hour. EBRPD's own booking system, in the campground rules attached to every reservation, states 'No gas generators' with no condition at all. A camper relying on the ordinance brings one; a camper relying on the rules they agreed to at booking does not. Both are EBRPD. The safer reading is the flat ban, because the booking rules are the terms the reservation is made under, but that is a judgement and not what the ordinance says. Note also that the booking rules speak of GAS generators specifically, where the ordinance is silent on fuel -- so a battery power station may be outside both, and nothing read says so.","EBRPD Ordinance 38 s.400.2, 908.2",https://www.ebparks.org/sites/default/files/Ord38-09052023FINAL.pdf,2023-09,2026-09-15,none-2026-09-15-03; none-2026-09-15-04; none-2026-09-16-22,East Bay Regional Park District
ebrpd-camping-minors,agency,ebrpd,camping,"A juvenile -- any unmarried person under 18 -- may not camp on District parkland unless accompanied by a parent or guardian, or, as part of a permitted group, supervised by at least one responsible adult over 21 for every ten juveniles.","Agency-wide under Ordinance 38 s.400.4, not a rule of any one campground, which is why it sits here rather than in a campground's notes: it governs the family campground and the backpack camps as much as the group camps. EBRPD's booking system restates it in the terms a reservation holder meets -- juveniles under 18 accompanied by a parent, legal guardian or other responsible adult aged 21 or over, and large groups needing one adult per ten juveniles. The 21-and-over bar matters: an 18-year-old is an adult for the purposes of being unaccompanied, but not for the purposes of supervising anyone else.",EBRPD Ordinance 38 s.400.4,https://www.ebparks.org/sites/default/files/Ord38-09052023FINAL.pdf,2023-09,2026-09-15,none-2026-09-15-03; none-2026-09-15-23,East Bay Regional Park District
black-diamond-no-fire,park,Black Diamond Mines Regional Preserve,fire,"NO campfires and NO barbecues at Black Diamond Mines, at any time and in any season. Camp stoves are acceptable.","STRICTER THAN THE DISTRICT RULE IT SITS ON TOP OF, and that is why it is scoped to the park. EBRPD's own agency-wide rule permits portable barbecues and hibachis subject to clearance, so a reader shown only that rule arrives here with a barbecue they may not use. Neither of this park's two camping areas has any fire ring. Note the difference from a fire ban declared for conditions: this is not seasonal and does not lift.",,https://www.reserveamerica.com/explore/black-diamond-mines-regional-preserve/EB/110452/overview,,2026-09-16,none-2026-09-16-04,Black Diamond Mines Regional Preserve
black-diamond-no-alcohol,park,Black Diamond Mines Regional Preserve,camping,No alcohol at all is allowed at Black Diamond Mines.,"Also stricter than the District, and the contrast is sharp enough to catch someone out: Anthony Chabot allows beer and wine at campsites and picnic areas for over-21s, and Ordinance 38 bars alcohol only in non-designated areas. Here there is no designated area. Star Mine takes organized educational groups only, which is the likely reason.",,https://www.reserveamerica.com/explore/black-diamond-mines-regional-preserve/EB/110452/overview,,2026-09-16,none-2026-09-16-04,Black Diamond Mines Regional Preserve
black-diamond-pack-out,park,Black Diamond Mines Regional Preserve,waste,Haul out all your own garbage and equipment -- there is no rubbish collection at either camping area.,"Leave no trace, stated by the booking system and echoed by the park's own page for Star Mine. Pairs with the water situation: Star Mine has no water at all, and Stewartville's is for horses and non-potable, so everything comes in and goes out with the party.",,https://www.reserveamerica.com/explore/black-diamond-mines-regional-preserve/EB/110452/overview,,2026-09-16,none-2026-09-16-04,Black Diamond Mines Regional Preserve
briones-dog-leash-segments,park,Briones Regional Park,pets,"Dogs must be leashed, six-foot maximum, at ALL times on four named stretches of trail: the whole Tavan Trail; Diablo View Trail between Alhambra Creek Trail and Hidden Pond Trail; Alhambra Creek Trail from the Alhambra Creek Staging Area south to the water trough; and Orchard Trail from Alhambra Creek Trail west to the Briones Road gate.","SHARPENS ORDINANCE 38 ATTACHMENT C, which names 'designated sections of Alhambra Creek, Tavan, Diablo View and Orchard Trails in Briones Regional Park' without saying which sections. These are the sections. It matters because Briones is otherwise leash-optional undeveloped land under s.801.3, where a dog may run at large under control -- so these four stretches are the exception inside the exception, and they are marked by signage rather than being obvious from the map. SEPARATELY, cattle graze named trail areas here -- cows and calves in Tabletop, Spengler, Blue Oak, Buckeye, Sunrise and Lafayette Ridge, yearlings in Deer Creek, Pereirra, Valley and Briones Crest -- and s.801.21 requires any dog or other animal to be leashed and under complete control wherever grazing animals are present, which is a larger area than these four segments.",,https://www.ebparks.org/parks/briones,,2026-09-16,none-2026-09-16-05,Briones Regional Park
sunol-no-open-fire,park,Sunol Regional Wilderness,fire,No open fires or barbecues of ANY type at Sunol. Gas-fuelled stoves are permitted at Alameda Grove and School Camp ONLY.,"The second park-scoped fire ban in this project, and it is stricter than Black Diamond's: there, camp stoves are acceptable anywhere; here even a gas stove is confined to two named places, neither of which is Sunol Backpack Camp -- the camp this project actually holds, on the Ohlone Wilderness Trail. Read at agency scope alone, EBRPD's District-wide rule permits portable barbecues and hibachis subject to clearance, so a backpacker planning a hot meal at Sunol Backpack Camp on that basis plans something they may not do. POSTED AS A FIRE WARNING rather than in the park's camping text, so it reads as conditional; it is recorded as a standing rule because the wording names permanent exceptions by location rather than a date range, but whether it lifts outside fire season is NOT STATED and is worth asking.",,https://www.ebparks.org/alerts-closures,,2026-09-16,none-2026-09-16-14,Sunol Regional Wilderness
ebrpd-backpack-stay-limit,agency,ebrpd,camping,"At a BACKPACK site the stay limit is 2 nights, except on the Ohlone Wilderness Trail -- Mission Peak, Sunol and Ohlone -- where up to 3 consecutive nights are allowed in order to walk the whole trail.","A different limit from the family campground's 15 consecutive days, and it reaches seven camps this project already holds: Boyd, Stewart's, Maggie's Half Acre, Doe, Sunol Backpack, Eagle Springs and Round Valley. THE OHLONE EXCEPTION EXISTS FOR A REASON WORTH KNOWING: the trail is 28 miles, and two nights does not comfortably cover it, so the District allows a third specifically for a through-walk. Also one backpack site per household address, customer name, primary occupant or registered vehicle on any date; additional bookings are cancelled rather than queried. Stated by the booking system, which is where the District publishes backpack terms -- no ebparks.org page read here carries it.",,https://www.reserveamerica.com/explore/round-valley-regional-preserve/EB/110459/overview,,2026-09-16,none-2026-09-16-16,East Bay Regional Park District
ebrpd-backpack-no-dogs-ohlone,agency,ebrpd,pets,"NO DOGS OVERNIGHT at the Mission Peak, Sunol and Ohlone Trail backpack sites. Other locations vary and must be checked per site.","Scoped to the agency rather than a park because it names a CLASS OF SITE, not a place: the Ohlone corridor camps in this project are filed under Del Valle Regional Park, where the Del Valle Family Campground allows dogs, so a park-scoped rule would ban them at the wrong campground. Read it as naming its own sites. It is stricter than Ordinance 38 s.801.2(i), which permits a leashed or contained animal at campgrounds generally, and it is an overnight ban rather than a leash requirement -- a dog may walk the trail and may not sleep at the camp. The ordinance's own species wording does not carry here: the booking system says dogs, and whether a cat is covered is NOT STATED.",,https://www.reserveamerica.com/explore/round-valley-regional-preserve/EB/110459/overview,,2026-09-16,none-2026-09-16-16,East Bay Regional Park District
ebrpd-backpack-no-fire-no-alcohol,agency,ebrpd,fire,"At a BACKPACK site: no campfires and no charcoal barbecues. Camp stoves are permitted. No alcohol at all, beer and wine included.","Backpack sites are treated as their own class District-wide, and both halves are stricter than the agency rule they sit under: Ordinance 38 s.404.1 permits portable barbecues subject to clearance, and the family campgrounds allow beer and wine for over-21s. The alcohol half is the one most likely to surprise, since Anthony Chabot's family sites permit it and its group sites permit it with an extra permit. Recorded under fire because that is the half with a category; the alcohol clause has no vocabulary of its own here.",,https://www.reserveamerica.com/explore/round-valley-regional-preserve/EB/110459/overview,,2026-09-16,none-2026-09-16-16,East Bay Regional Park District
round-valley-no-dogs,park,Round Valley Regional Preserve,pets,"No dogs are allowed anywhere in Round Valley Regional Preserve, at any time.","A whole-park ban, not a leash rule, and the reason is on the park's own page: the preserve holds the endangered San Joaquin kit fox at the northern extreme of its range, and DOGS CAN BE A DISEASE VECTOR to it. Ordinance 38 Attachment B already listed Round Valley as a wildlife protection area for listed species at risk; this states the ban plainly and gives it a cause. The backpack site's own listing permits HORSE only among pets. Nesting golden eagles, burrowing owls and the federally threatened California red-legged frog are also present.",EBRPD Ordinance 38 Attachment B,https://www.ebparks.org/parks/round-valley,,2026-09-16,none-2026-09-16-16,Round Valley Regional Preserve
ebrpd-alcohol,agency,ebrpd,camping,"No hard alcohol anywhere. Beer and wine only, 21 and over, and only at campsites or picnic areas -- not in parking lots, on trails or at swim beaches. A GROUP CAMPSITE NEEDS AN ADDITIONAL BEER AND WINE PERMIT, bought in advance.","The permit costs $25.00 and is bought by calling EBRPD Reservations; it cannot be added on arrival. So a group that brings beer without having phoned ahead is in breach even though beer is allowed. THIS DOES NOT REACH EVERY SITE IN THE DISTRICT. Two narrower rules override it and both are already recorded: Black Diamond Mines bans alcohol entirely at park scope, and EBRPD's backpack sites ban it entirely, beer and wine included. A camper who reads only this rule and goes to Stewartville is wrong. The District norm is beer and wine with a permit; the exceptions are where this project has looked hardest. A THIRD EXCEPTION, FOUND THE SAME DAY THIS RULE WAS FILED: Wee-Ta-Chi at Briones states 'ALCOHOL: Not permitted' on its own booking page. It is not recorded here because this table's narrowest scope is PARK and the ban is published for one site, while Briones' other two group camps publish no site notes at all -- so whether the ban is the site's or the park's cannot be told from what has been read. It sits on the Wee-Ta-Chi campground row instead. The count now stands at two recorded exceptions and one that has nowhere to go, which is what a missing scope level looks like from the inside.",,https://www.reserveamerica.com/explore/garin-regional-park/EB/110454/overview,,2026-09-16,none-2026-09-16-22; none-2026-09-16-26,East Bay Regional Park District
ebrpd-firewood,agency,ebrpd,fire,"Fires only in designated areas, and only with wood you brought: commercially purchased wood, processed fire logs or cut lumber. COLLECTING WOOD IS PROHIBITED. Every fire must be attended by an adult and thoroughly extinguished on departure.","This is the supply half of the fire question and it is separate from whether a fire is allowed at all -- Ordinance 38 s.404 governs where a fire may burn, this governs what may burn in it. A site with a fire circle and no wood for sale nearby is a site you carry fuel to. EBRPD also warns that fire restrictions may be in place during a stay, checked through its fire danger page, and its own cancellation terms give NO REFUND when restrictions tighten.",,https://www.reserveamerica.com/explore/garin-regional-park/EB/110454/overview,,2026-09-16,none-2026-09-16-22,East Bay Regional Park District
ebrpd-smoking,agency,ebrpd,camping,No smoking and no vaping.,"Stated flatly in the booking system's campground rules, with no exception for a campsite and no designated area named.",,https://www.reserveamerica.com/explore/garin-regional-park/EB/110454/overview,,2026-09-16,none-2026-09-16-22,East Bay Regional Park District
ebrpd-tents,agency,ebrpd,camping,"No limit on the NUMBER of tents at a site, but every tent must stand on dirt or a designated tent pad. NO TENTS ON LAWNS.","Site sizes vary, so the binding constraint is ground rather than count: a party within its occupancy limit can still be unable to pitch what it brought. Relevant at the group camps here, which state tent pads only at Round Valley and Star Mine; the rest describe picnic tables and fire rings without saying what the ground is.",,https://www.reserveamerica.com/explore/garin-regional-park/EB/110454/overview,,2026-09-16,none-2026-09-16-22,East Bay Regional Park District
ebrpd-vehicles-per-site,agency,ebrpd,camping,"Two vehicles per campsite. Group and backpack sites vary, and their own listings state the number.","The per-site figure is the family default. The group sites read for this project each state their own and none matches it: Star Mine 7 parking spaces, Dairy Glen 10, Arroyo Flats 15 passes of which only 2 may park at the site. Where a group site states a figure, that figure governs and this one does not.",,https://www.reserveamerica.com/explore/garin-regional-park/EB/110454/overview,,2026-09-16,none-2026-09-16-22,East Bay Regional Park District
ebrpd-reservation-limits,agency,ebrpd,group_size,"A MAXIMUM OF TWO family campsites per household address, customer name, primary occupant or registered vehicle on any given date -- additional sites are CANCELLED. Other site types are limited to one per date per party, group, household or primary contact. A group larger than 16 should reserve a group campsite.","The counting keys are the same four the stay limit uses, so a party cannot split a booking across names or vehicles to get a third site. It bites hardest against the release mechanics already recorded: reservations open by phone with a maximum of two per call, and this caps the household at two anyway. A party of twenty needing three family sites cannot legally have them under one household, which is what 'groups larger than 16 should reserve a group campsite' is really saying -- and 16 is not 17, the minimum most group sites here state, so a party of 17 is the smallest that fits both halves cleanly.",,https://www.reserveamerica.com/explore/garin-regional-park/EB/110454/overview,,2026-09-16,none-2026-09-16-22,East Bay Regional Park District
ebrpd-pets-count,agency,ebrpd,pets,"MAXIMUM THREE DOGS PER SITE. Dogs must be confined to a vehicle or tent during quiet hours and must never be left unattended. Anyone with a noisy, vicious or uncontrollable dog will be asked to leave.","A count limit, which none of the Ordinance 38 pets rules give -- those govern leashing, confinement and where an animal may go, not how many. NOTE WHAT IT DOES NOT SAY: this rule is written about DOGS, while Ordinance 38 s.801 is written about 'dog, cat or other animal'. Whether three is a cap on dogs or on animals is not stated, so a party bringing cats has no number here. Ask Reservations rather than reading the dog figure across. THE CONFINEMENT CLAUSE CHANGES WITH THE SITE, WHICH IS WORTH NOTICING: Garin's copy says a dog must be confined to a VEHICLE OR TENT during quiet hours; Reinhardt Redwood's says confined to a TENT. Reinhardt's three camps ban driving in, so there is no vehicle at the site to confine a dog in -- the rule text tracks the access mode. Reinhardt's version also adds that pets must be under voice control at all times and spells out where leashes are required: parking lots, within 200 feet of any trail or park entrance or as posted, picnic areas, developed areas such as lawns and play fields, on some trails, and wherever grazing animals are present.",,https://www.reserveamerica.com/explore/garin-regional-park/EB/110454/overview,,2026-09-16,none-2026-09-16-22; none-2026-09-16-36,East Bay Regional Park District
reinhardt-creek-protection,park,Dr. Aurelia Reinhardt Redwood Regional Park,pets,"In the Redwood Creek Resource Protection Area, DOGS MUST BE ON LEASH on Stream Trail and Bridle Trail, and PEOPLE AND DOGS MUST STAY OUT OF THE CREEK and off the creek banks.","Printed on the park's own map inside the marked protection area. It is stricter than the District's developed-areas leash rule, which lets a dog off leash on an undeveloped trail: here two named trails require a leash for their length. The creek ban covers people as well as dogs, which no other rule in this project does -- it is a habitat closure written as a use rule, and the park is the last stretch of spawning habitat the Fishway Interpretive Site on the same map exists to explain. Filed under pets because that is where the leash half belongs and this vocabulary has no habitat category; the human half is in the summary so it cannot be lost.",,https://www.ebparks.org/sites/default/files/maps/reinhardt-redwood-map.pdf,,2026-09-16,none-2026-09-16-35,Dr. Aurelia Reinhardt Redwood Regional Park
reinhardt-no-fishing,park,Dr. Aurelia Reinhardt Redwood Regional Park,fishing,"FISHING IS NOT ALLOWED. The park page says not anywhere in the park; the booking system says not in Redwood Creek, 'either in the park OR ALONG REDWOOD ROAD'. The second is narrower about where and wider about how far.","Stated flatly on the park page, with no season, no permit and no exception. It is the first fishing rule in this dataset and the first EBRPD rule of any kind that is a plain park-wide ban on an activity the District advertises elsewhere -- Garin and Dry Creek Pioneer both carry a Fishing activity icon. Consistent with the creek protection area on the map, though neither source says one causes the other. REFINED AND COMPLICATED THE SAME DAY. The park page's flat 'Fishing is not allowed in the park' and the campground rules' 'Fishing in Redwood Creek, either in the park or along Redwood Road' do not describe the same area. One bans fishing everywhere inside the boundary; the other bans it in one creek and follows that creek OUTSIDE the park along a public road, which no other rule in this dataset does -- a park's rule reaching past its own boundary. No conflict thread is opened because the two overlap rather than contradict: inside the park the creek is covered either way, and nothing anywhere says fishing IS permitted. Both are stored so that a reader by the roadside culvert knows the ban follows them there.",,https://www.ebparks.org/parks/reinhardt-redwood,,2026-09-16,none-2026-09-16-35; none-2026-09-16-36,Dr. Aurelia Reinhardt Redwood Regional Park
ebrpd-prohibited-conduct,agency,ebrpd,camping,A prohibited list the campground rules carry and Ordinance 38's summaries here do not: NO DRONES. No hanging anything in or from trees or structures. No wading or swimming in undesignated areas. No feeding or approaching wildlife. No releasing animals into parklands. No damaging plants or geological or archaeological features. NO BALLOONS OR PINATAS.,"Read on Reinhardt Redwood's listing, in the block EBRPD attaches to reservations rather than in the ordinance. Two of these matter more than they look. 'RELEASING ANIMALS INTO PARKLANDS' is the only rule in this dataset about bringing an animal you do not intend to take home, and it sits beside the pets rules without being one. 'No balloons or pinatas' reads as trivia and is a litter rule: both shed fragments that are eaten by wildlife, which is the same concern as the feeding ban two clauses earlier. Stored at agency scope because the block is District boilerplate, with the usual caveat that it was read on one park's page. Leave no trace and pack out what you pack in is stated in the same block; bulky items must go out with you rather than into the bins.",,https://www.reserveamerica.com/explore/reinhardt-redwood-regional-park/EB/110458/overview,,2026-09-16,none-2026-09-16-36,East Bay Regional Park District
reinhardt-group-stay-limit,park,Dr. Aurelia Reinhardt Redwood Regional Park,camping,"SEVEN NIGHTS A MONTH AND THIRTY A YEAR at this park's group sites, which is not the District's 15-consecutive-days figure and is much tighter.","'Site reservations: Reservations are limited to one (1)/date per party/group, household address, primary contact, etc. 7 night maximum/month; 30 nights/year.' THIS IS NOT A CONTRADICTION OF ebrpd-camping-stay-limit, on the best reading: Garin's copy of the same block says 'Cabin, group, backpack, or equestrian site stay limitations VARY BY SITE TYPE', and Ordinance 38's 15 consecutive days is the general cap. Seven nights a month looks like the group-site figure that sentence is pointing at. THE READING IS A JUDGEMENT AND THE SCOPE SHOWS IT: this is filed at PARK scope because only this park's page states a number, and regulations.csv has no scope for a class of site. If another park's group listing states seven nights, it belongs at agency scope. The 30 nights a year matches the ordinance exactly, which is the reason to think the monthly figure is real rather than a transcription slip.",,https://www.reserveamerica.com/explore/reinhardt-redwood-regional-park/EB/110458/overview,,2026-09-16,none-2026-09-16-36,Dr. Aurelia Reinhardt Redwood Regional Park
